date,pm25,o3,no2,so2,co,aqi
2021-10-01, 94, 7, 7, 5,0,0
2021-10-02, 80, 16, 9, 5,0,0
2021-10-03, 117,0,0,0,0,0
2021-09-01, 83, 11, 4, 4,0,0
2021-09-02, 69, 10, 5, 5,0,0
2021-09-03, 92, 11, 5, 4,0,0
2021-09-04, 73, 8, 4, 4,0,0
2021-09-05, 47, 14, 6, 4,0,0
2021-09-06, 78, 7, 6, 4,0,0
2021-09-07, 95, 8, 5, 4,0,0
2021-09-08, 67, 10, 6, 4,0,0
2021-09-09, 45, 14, 6, 4,0,0
2021-09-10, 94, 23, 6, 4,0,0
2021-09-11, 93, 42, 6, 5,0,0
2021-09-12, 145, 14, 6, 4,0,0
2021-09-13, 128, 8, 6, 4,0,0
2021-09-14, 82, 7, 7, 4,0,0
2021-09-15, 68, 7, 8, 4,0,0
2021-09-16, 64, 7, 6, 4,0,0
2021-09-17, 47, 7, 6, 5,0,0
2021-09-18, 58, 7, 4, 4,0,0
2021-09-19, 70, 13, 6, 5,0,0
2021-09-20, 97, 11, 9, 5,0,0
2021-09-21, 115, 7, 9, 6,0,0
2021-09-22, 92, 10, 9, 5,0,0
2021-09-23, 90, 7, 6, 4,0,0
2021-09-24, 79, 7, 6, 4,0,0
2021-09-25, 62, 8, 6, 4,0,0
2021-09-26, 72, 13, 8, 4,0,0
2021-09-27, 73, 15, 8, 4,0,0
2021-09-28, 112, 22, 9, 5,0,0
2021-09-29, 124, 19, 9, 5,0,0
2021-09-30, 101, 8, 9, 5,0,0
2021-08-01, 36, 11, 8, 4,0,0
2021-08-02, 71, 15, 9, 4,0,0
2021-08-03, 92, 14, 5, 4,0,0
2021-08-04, 113, 13, 6, 4,0,0
2021-08-05, 106, 10, 6, 4,0,0
2021-08-06, 105, 11, 5, 5,0,0
2021-08-07, 66, 9, 6, 4,0,0
2021-08-08, 110, 9, 7, 4,0,0
2021-08-09, 151, 8, 7, 4,0,0
2021-08-10, 56, 8, 5, 4,0,0
2021-08-11, 48, 8, 6, 4,0,0
2021-08-12, 63, 7, 6, 4,0,0
2021-08-13, 72, 9, 5, 4,0,0
2021-08-14, 61, 8, 6, 4,0,0
2021-08-15, 79, 8, 6, 4,0,0
2021-08-16, 64, 9, 5, 4,0,0
2021-08-17, 69, 8, 6, 4,0,0
